Event,Platform,Name,Username,Comments,Date,Hour,Replies,Retweet,Likes,Location,Verified,Blue Verified,Sentiment,Emotion,Most Common Keyword
Xbox Games Showcase,Twitter,1of1,@bigslimeeeee,@Xbox 10/10,2024-06-09 20:51:41,2024-06-09 20:51:41,1,0,4,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Adam Fletcher,@PezRadar,@Xbox Stacked.,2024-06-09 20:25:34,2024-06-09 20:25:34,3,0,298,United States,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Adam Rush,@adamrush15,@Xbox ?,2024-06-10 20:09:40,2024-06-10 20:09:40,2,0,2,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Aircool,@ItsAircool,@Xbox Gears of War let’s go,2024-06-09 21:02:22,2024-06-09 21:02:22,1,0,11,United States,FALSE,TRUE,Positive,Happy,Gears of War
Xbox Games Showcase,Twitter,Albumbrella,@TaiyoYozakura,@Xbox @OmnicientWolf Good fucking job.,2024-06-09 20:47:05,2024-06-09 20:47:05,1,0,1,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Alex (lilchief2007),@lilchief2007,@Xbox WE’RE GONNA EAT SO GOOD ON XBOX,2024-06-09 20:32:32,2024-06-09 20:32:32,0,1,2,United States,FALSE,TRUE,Negative,Fear,Xbox
Xbox Games Showcase,Twitter,Alzea Arafat,@helloalzea,@Xbox Amazing showcase!,2024-06-10 03:25:55,2024-06-10 03:25:55,0,0,2,Indonesia,FALSE,TRUE,Positive,Surprise,Showcase
Xbox Games Showcase,Twitter,Ameer,@SynthPotato,"@Xbox That was a 10/10 show, you guys fucking cooked.",2024-06-09 20:45:12,2024-06-09 20:45:12,1,0,151,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Andre,@AndreLSS91,@Xbox 10/10,2024-06-09 20:23:33,2024-06-09 20:23:33,2,0,8,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Atari,@atari,"@Xbox Great showcase, all. ??",2024-06-09 20:23:02,2024-06-09 20:23:02,8,10,656,Unknown,FALSE,FALSE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,Casey,@C4SEY85,@Xbox This is why I don’t get enough sleep.,2024-06-09 20:50:16,2024-06-09 20:50:16,0,0,2,United States,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,ChristroyerXDYT,@ChristroyerXD,"@Xbox W showcase, as expected ? ? absolutely cooked ?",2024-06-09 21:24:53,2024-06-09 21:24:53,2,0,48,Unknown,FALSE,FALSE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,Cory | Thalion,@ThalionFTW,@Xbox Big ‘ol W.,2024-06-09 20:45:09,2024-06-09 20:45:09,0,0,1,United States,FALSE,TRUE,Positive,Happy,W
Xbox Games Showcase,Twitter,CRod ????,@CharioBro,@Xbox A lot of 2025 .... https://t.co/gThN5zbs4j,2024-06-09 20:25:05,2024-06-09 20:25:05,5,0,10,United States,FALSE,TRUE,Negative,Sad,Xbox
Xbox Games Showcase,Twitter,CryptoMayers,@CryptoMayers,@Xbox Check out the newest and baddest cat on the $SOL block $NOCA ! Even @IAmSteveHarvey owns it !,2024-06-10 00:44:11,2024-06-10 00:44:11,0,1,1,United States,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Deck Nine Games,@DeckNineGames,@Xbox What a great showcase! Thanks for having Life is Strange: Double Exposure a part of the mix! ?,2024-06-11 03:16:10,2024-06-11 03:16:10,3,12,224,Unknown,FALSE,FALSE,Positive,Happy,Life is Strange
Xbox Games Showcase,Twitter,doro44 ?,@doro44twitch,@Xbox Huge W,2024-06-09 22:03:12,2024-06-09 22:03:12,1,0,22,Unknown,FALSE,TRUE,Positive,Happy,W
Xbox Games Showcase,Twitter,Drewski Sosa,@drewski_sosa,"@Xbox I'm thirsty for that Snake Eater Delta, I'll be buying that game 3 times you heard?!!! one for XB Series X, one for PS5 and one for PC",2024-06-09 20:46:42,2024-06-09 20:46:42,0,0,0,Unknown,FALSE,FALSE,Positive,Happy,Snake Eater Delta
Xbox Games Showcase,Twitter,e? ?,@quizure,@Xbox Can't wait for SoD 3,2024-06-22 03:03:05,2024-06-22 03:03:05,0,0,0,Unknown,FALSE,TRUE,Neutral,Angry,SoD3
Xbox Games Showcase,Twitter,Eagle,@EagleUS2013,@Xbox All coming to PS5 day one or later. Thank you ?,2024-06-09 20:24:36,2024-06-09 20:24:36,7,0,7,Unknown,FALSE,FALSE,Positive,Happy,PS5
Xbox Games Showcase,Twitter,Elden_titan,@TitanElden,@Xbox W showcase,2024-06-09 21:23:35,2024-06-09 21:23:35,2,0,10,Unknown,FALSE,FALSE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,eli,@4kteli22,@Xbox holy mid,2024-06-09 21:45:51,2024-06-09 21:45:51,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,EQUALS TRUE,@equals_true,@Xbox I'm so ready to play them on my PC ?,2024-06-10 17:30:01,2024-06-10 17:30:01,1,0,0,United States,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,George Shonia,@gio_tbilisi,@Xbox I'm waiting to,2024-06-09 22:13:57,2024-06-09 22:13:57,0,0,0,Unknown,FALSE,FALSE,Positive,Surprise,Xbox
Xbox Games Showcase,Twitter,GHOST MEME,@ghostmemeorg,@Xbox #GHOSTMEME (GM),2024-06-20 14:11:06,2024-06-20 14:11:06,0,0,0,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,GPT: Game Pass Tracker,@GPTGamingNews,"@Xbox *everyone stands up to clap a third time, smiling larger than ever before* ??",2024-06-09 22:16:43,2024-06-09 22:16:43,0,0,15,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,hamish-k,@hamish_k_thefox,@Xbox Great show,2024-06-09 21:25:34,2024-06-09 21:25:34,2,0,8,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Hei5man,@rheisler1475,"@Xbox games, games, games!",2024-06-09 21:25:44,2024-06-09 21:25:44,2,0,32,Unknown,FALSE,FALSE,Positive,Happy,Games
Xbox Games Showcase,Twitter,Jack “CouRage” Dunlop,@CouRageJD,@Xbox W Showcase,2024-06-09 20:23:37,2024-06-09 20:23:37,6,8,788,Unknown,FALSE,TRUE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,JBL Quantum,@JBLQuantum,"@Xbox Banger after banger, this showcase was legendary https://t.co/i3DNGnk6z5",2024-06-10 14:04:17,2024-06-10 14:04:17,0,0,1,Unknown,FALSE,FALSE,Positive,Happy,Banger
Xbox Games Showcase,Twitter,Joey Haro,@HOBOxShoryuken,@Xbox Amazing showcase ?????,2024-06-09 20:51:42,2024-06-09 20:51:42,2,0,7,Unknown,FALSE,FALSE,Positive,Surprise,Showcase
Xbox Games Showcase,Twitter,John Halo,@JohnHalo69,@Xbox John. Halo. :/,2024-06-09 20:23:05,2024-06-09 20:23:05,9,4,202,Unknown,FALSE,TRUE,Positive,Happy,Halo
Xbox Games Showcase,Twitter,Jose Cuellar,@Jose_Cuellar96,@Xbox I’m kinda confused on why people are mad that Overwatch wasn’t mentioned when blizzard does their own events to show their games,2024-06-09 21:56:30,2024-06-09 21:56:30,1,0,0,United States,FALSE,TRUE,Negative,Fear,Overwatch
Xbox Games Showcase,Twitter,jpallstarx,@JPxstar,@Xbox Holy shit. Out did yourselves this time super well. Congrats to everyone involved and the hard working teams!!!!,2024-06-09 21:53:35,2024-06-09 21:53:35,0,0,0,United States,FALSE,TRUE,Negative,Fear,Xbox
Xbox Games Showcase,Twitter,Kehaan,@KehaanDK,@Xbox It was a fantastic showcase!,2024-06-09 22:19:06,2024-06-09 22:19:06,1,0,2,Denmark,FALSE,TRUE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,Kill Steel: Vol. 3,@KillSteelVol3,@Xbox https://t.co/TAjPmCHUe9,2024-06-09 20:46:50,2024-06-09 20:46:50,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,l,@wascleocazo,@Xbox Cooked,2024-06-09 21:25:21,2024-06-09 21:25:21,1,0,18,Unknown,FALSE,FALSE,Positive,Happy,Cooked
Xbox Games Showcase,Twitter,lilyisus,@lilyisus777,@Xbox @pikaso_me screen shot this please,2024-06-10 14:16:36,2024-06-10 14:16:36,1,0,0,South Africa,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,LMG,@LMG_Bros,@Xbox Absolute MAJOR W,2024-06-09 21:43:59,2024-06-09 21:43:59,0,0,0,Unknown,FALSE,TRUE,Negative,Fear,W
Xbox Games Showcase,Twitter,Luke,@LuukeWaarm,@Xbox Great event looking forward to a lot of these! https://t.co/KM6QdQoOxO,2024-06-09 20:58:05,2024-06-09 20:58:05,1,0,15,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Masyer Moose High N Gaming,@HighNGamingNews,@Xbox #xboxshowcase got gamers waking up like! https://t.co/DxzRfKMR6I,2024-06-09 20:28:56,2024-06-09 20:28:56,0,0,0,United States,FALSE,TRUE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,Matt ??,@thcfastestman,@Xbox Such an amazing showcase!,2024-06-09 20:58:25,2024-06-09 20:58:25,1,0,54,United States,FALSE,TRUE,Positive,Surprise,Showcase
Xbox Games Showcase,Twitter,Mike DeLaet,@mdelaet,@Xbox Well done @Xbox ?,2024-06-09 22:52:12,2024-06-09 22:52:12,1,0,3,United States,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,MissDeusGeek,@MissDeusGeek,@Xbox Congratulations on an incredible showcase!! The number of Day One on Game Pass games AND female leads is so amazing!! Thank you for such a great show!,2024-06-09 20:30:22,2024-06-09 20:30:22,3,0,38,Australia,FALSE,TRUE,Positive,Happy,Gamepass
Xbox Games Showcase,Twitter,Mountain Dew Gaming,@MTNDEWGaming,@Xbox This a W for gamers everywhere,2024-06-10 20:19:23,2024-06-10 20:19:23,3,0,57,Unknown,FALSE,FALSE,Positive,Happy,W
Xbox Games Showcase,Twitter,Peter Fuchs,@PeterFuchsVivio,@Xbox What a Cortana suggest...,2024-06-09 20:43:36,2024-06-09 20:43:36,0,0,0,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,PLAY NOVA GERAÇÃO??,@PlayNG2,@Xbox Liberem o Forza Horizon 5 no PS5 ? https://t.co/NqRkk4VffX,2024-06-20 19:20:35,2024-06-20 19:20:35,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Forza
Xbox Games Showcase,Twitter,Pyo 5??,@mrpyo1,"@Xbox W show, no way around it",2024-06-09 20:37:33,2024-06-09 20:37:33,1,0,178,Unknown,FALSE,FALSE,Positive,Happy,W
Xbox Games Showcase,Twitter,PZZ?AZZ ?,@thePZZAZZ,@Xbox ?? (*that close.),2024-06-09 20:41:15,2024-06-09 20:41:15,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Rebellion,@Rebellion,@Xbox What a line-up ???,2024-06-09 20:28:39,2024-06-09 20:28:39,2,1,84,United Kingdom,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,RedRumForever,@RedRumForever,@Xbox The showcase was out of this world.,2024-06-09 22:13:57,2024-06-09 22:13:57,0,0,0,Unknown,FALSE,FALSE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,rekhan,@Biryani_Bro,@Xbox Can you guys release a ps5 version of fallout 76 with 4K/120 hz support,2024-06-09 20:51:50,2024-06-09 20:51:50,3,0,2,Unknown,FALSE,TRUE,Positive,Happy,Fallout
Xbox Games Showcase,Twitter,RetroGaming (RUL3R),@RetroLan,@Xbox IN LOVE with this Doomslayer design jesus. https://t.co/GdCWyHgoMy,2024-06-09 22:04:59,2024-06-09 22:04:59,1,0,1,United States,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,RG | Sergeant Sentinel Gaming ???,@SSGSentinel,"@Xbox Well done, Xbox. ",2024-06-09 22:13:57,2024-06-09 22:13:57,0,0,0,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Rich,@richXphoto,@Xbox “Wake me when you need me”,2024-06-09 20:24:59,2024-06-09 20:24:59,0,0,5,United States,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,rickymakesbadvideos,@rickymakescrap,@Xbox When is the CoD back catalogue coming to GamePass?,2024-06-09 22:56:37,2024-06-09 22:56:37,0,0,0,England,FALSE,TRUE,Positive,Surprise,Call  of Duty
Xbox Games Showcase,Twitter,Roller Stoner,@Rollerdiestwice,@Xbox https://t.co/UADTas1XB5,2024-06-09 21:42:50,2024-06-09 21:42:50,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Royalty,@Royaltyboxing19,@Xbox Pretty mid list icl,2024-06-10 22:28:05,2024-06-10 22:28:05,2,0,1,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,S.T.A.L.K.E.R. OFFICIAL,@stalker_thegame,@Xbox Great company for a great evening.,2024-06-10 01:36:02,2024-06-10 01:36:02,8,15,747,Ukraine,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Sean Petty,@seildor,@Xbox My jaw dropped when the doom trailer started and I didn’t pick it up until the gears reveal. Well done! https://t.co/9RS94SsR5v,2024-06-09 21:32:29,2024-06-09 21:32:29,2,0,85,Unknown,FALSE,FALSE,Positive,Surprise,Doom
Xbox Games Showcase,Twitter,Sheikh 305,@gh0str3con,@Xbox https://t.co/WshqgTuNyq,2024-06-09 21:21:17,2024-06-09 21:21:17,0,0,2,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Toasted,@ToastedShoes,@Xbox Ya’ll cooked,2024-06-09 20:39:42,2024-06-09 20:39:42,3,0,12,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,TrejoF,@that_racerguy,@Xbox W showcase ?? https://t.co/cna5Fbvl7b,2024-06-09 21:24:41,2024-06-09 21:24:41,5,31,604,Unknown,FALSE,FALSE,Positive,Happy,W
Xbox Games Showcase,Twitter,unknown,unknown,"You did yourself proud today. https://t.co/4LIvKaIYGc""",2024-06-09 20:25:09,2024-06-09 20:25:09,1,1,92,Unknown,FALSE,TRUE,Positive,Happy,
Xbox Games Showcase,Twitter,unknown,unknown,"nice one  “And one more thing”""",2024-06-09 22:13:57,2024-06-09 22:13:57,79,235,2792,United States,FALSE,TRUE,Positive,Happy,
Xbox Games Showcase,Twitter,Video Game History,@VideoGameHstry,@Xbox Absolute banger ?,2024-06-09 21:01:59,2024-06-09 21:01:59,2,0,59,United States,FALSE,TRUE,Negative,Fear,Banger
Xbox Games Showcase,Twitter,Walmart Canada Gaming,@WalmartCAGaming,@Xbox The teams absolutely cooked. ?,2024-06-09 20:25:16,2024-06-09 20:25:16,5,6,554,Canada,FALSE,FALSE,Negative,Fear,Cooked
Xbox Games Showcase,Twitter,zaiire ?,@_zaiire_,@Xbox Xbox showcase https://t.co/I4tvJRkR4q,2024-06-09 20:44:51,2024-06-09 20:44:51,1,4,59,Unknown,FALSE,TRUE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,Zom,@ZomForShort,@Xbox Amazing showcase!,2024-06-09 22:43:06,2024-06-09 22:43:06,2,0,4,Unknown,FALSE,FALSE,Positive,Surprise,Showcase
Xbox Games Showcase,Twitter,??d. ??d? i? ® ?,@Tedlaveee,@Xbox Oh life is strange ?!,2024-06-09 21:17:34,2024-06-09 21:17:34,0,0,1,United States,FALSE,TRUE,Negative,Fear,Life is Strange
Xbox Games Showcase,Twitter,?,@MshariAFC,@Xbox 10/10. Well done https://t.co/0lxoOz06ZD,2024-06-09 20:35:39,2024-06-09 20:35:39,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,????,@x2dar7k,@Xbox Thanks Xbox ?,2024-06-11 00:08:35,2024-06-11 00:08:35,2,0,4,German,FALSE,FALSE,Positive,Happy,Xbox
