Event,Platform,Username,Comments,Likes,Date,Sentiment,Emotion,Most Common Keyword
Xbox Games Showcase,Youtube,@_inkedguy_3,Which of those are actually console exclusive? I have both consoles btw but i just wanna know lol,0,11 days ago,Positive,Happy,Exclusive
Xbox Games Showcase,Youtube,@-_-Stand_up_comedy-_-767,Guys plz song  name  ? ,15,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@2Telos,Breathtaking.. ,10,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@3soras,The rich program from Microsoft makes me happy. 8 out of 10 )),1,11 days ago,Positive,Happy,Microsoft
Xbox Games Showcase,Youtube,@50H3i1,Xbox came out swinging,4,12 days ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,@7alambek,Xbox who sings the song? ,10,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@7Svmurai,We are back baby!!,0,8 days ago ,Positive,Happy,
Xbox Games Showcase,Youtube,@a7xgunslinger,Perfect Dark looks soooo good  ,31,12 days ago,Negative,Sad,Perfect Dark
Xbox Games Showcase,Youtube,@AaikaimanJuega,The showcase was better than this years summer game fest  Good job this time Xbox!!! ,10,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@ablez2009,10/10 show. Incredible  ,27,12 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@adamali5534,Best XBOX GAMES SHOWCASE EVER MADE ,0,11 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@Adamkilla9000,OH MY GOD,1,12 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@aldoaku87,"10/10 But cmon, we need more third person games.",0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@alfredopalomo6633,Name song? Please,5,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@AliAbidalkareem,Amazing showcase. Congrats Xbox. ,24,12 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,@ArticWolfDEV,"FRICKING YEAH, STATE OF DECAY 3!!!",0,11 days ago,Negative,Sad,State Of Decay 3
Xbox Games Showcase,Youtube,@Aspectt10,Big W's ,20,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@audenghaley,Perfect Dark and Gears Of War are back babies! ,146,12 days ago,Negative,Sad,Gears
Xbox Games Showcase,Youtube,@aureliur,"was pretty good, well done",0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@AviationCal1,9.9/10 Showcase! ,16,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Axliun,Awesome show case on par with e3 honestly,0,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@backgroundplaylist,"The best ever, congrats Xbox!!!! ",32,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@BananaSizzle,Anyone know the name of the song?,7,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@benlarmouth,"Wait, so does this mean the new Blade game will be for all video game formats ? Cuz I did not see 1 Blade promo",1,12 days ago,Positive,Surprise,Game
Xbox Games Showcase,Youtube,@BeTeLGeuZeX,Great Showcase!!!  All that was missing in my book was HALO !  an also Forza but they already released recent games so i understand that. But wouldve been nice to see all of Xbox lineup show up,0,12 days ago,Positive,Happy,Halo
Xbox Games Showcase,Youtube,@BitBeastCarter,Impressed with the showcase ,0,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Bleriixs,"10/10 showcase, loved it  ",18,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@bruta,XBOX WINS,2,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@BurgerKing-jm4qy,Great showcase pats on the back to you Xbox,9,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@CagoKriko,(edited) I'M love xbox,3,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@caneryus.,Why don't you apply mena region pricing to your old games on Steam?,0,11 days ago,Neutral,Angry,
Xbox Games Showcase,Youtube,@Captain-Chats,10 outa 10 ... xbox are back!,0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@Caralhudo28cm,"Perfect, I Love You XBOX ",0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@CEADGA,"Best showcase ever, mucho loves Xbox and can`t wait.",0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@charless.90,Melhor evento de todos ,3,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@christheelen8122,9.5 it was fantastic ,14,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@ciscoperez6879,JEEEEEEEEEEZUSSSSSSSSSS!!!!!! Mega hype …. Beyond hype . Absolutely amazing showcase . E-DAY! WTF !!!! So many games to be excited about .,0,11 days ago,Negative,Sad,Showcase
Xbox Games Showcase,Youtube,@Count_Dankku_42,Xbox brought back E3 vibes with that showcase! ,1,11 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@CPeko-Yu-1723,We can only hope that all the games presented are released finished and do not close any studio,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@creta367,"Got more than my expectations , can't wait",0,11 days ago,Neutral,Angry,
Xbox Games Showcase,Youtube,@criticalthinking7525,Amazing showcase. Im shocked on how good it was. 10/10,4,11 days ago,Positive,Surprise,Showcase
Xbox Games Showcase,Youtube,@cutterlmao,Genuinely excited for gaming this year,2,11 days ago,Negative,Sad,
Xbox Games Showcase,Youtube,@danielalarcon5884,Nueva era de vídeo juegos ,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@danybrillant5656,"so good. Great moment, thanks Xbox and Microsoft. Keed going.",0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@Darkdodge,"We finally got an Xbox moment to remember, well done!",0,10 days ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,@defuflorin,"The Showcase was so good. Hopefully the games will be too, when they realease!",0,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Devilmaycry1231,Expectacular !! Gracias !! ,1,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@diego1294,"The best presentation in years. The other years were so bad, full of cinematics, i dont play cinematics. This time we had gameplays and dates. 33 expeditions and dragon age were my favorites. Very happy with all im going to play on my xbox series x.",4,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@DieselJT,Def some good games in this video.,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@DietrichZapdos,"Great showcase, I want to see more of South of Midnight. Greetings from Lima, Peru.",1,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@diplex8591,I want to play every game,0,11 days ago,Negative,Fear,Game
Xbox Games Showcase,Youtube,@doubleerwin,Incredible showcase!,0,11 days ago,Positive,Surprise,Showcase
Xbox Games Showcase,Youtube,@dpm1700,Amazing show,1,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@DrawingTrance,best showcase ever ,0,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@drumnbassdan,Massively impressed,1,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@durotan5245,Best showcase ever. ,176,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@dxtremecaliber,Xbox has games  greatshow case feels like E3 again!,2,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@eangonzalez710,Showcase was better than i thought ,784,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@EGPIKA3,Best showcase ever  ,160,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@estebanbustamante2647,"Whats the song name, its fire ngl",5,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@estebanpacheco3256,"Muy genial,felicitaciones xbox",0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@extraordinary6383,I love Xbox ,3,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@feplays007,"Yes, Xbox won the events this year, with lots of games and surprises shown! Including Doom, Gears, Perfect Dark, and to make it even better, the only thing missing was Banjo Kazooie... ",1,11 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@gabriel681,"Incredible showcase, great job Xbox ",0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@garfunkle5447,"Xbox. You delivered big. Exceptional Showcase. Get that GAMEPASS, Baby!",0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@gergowolf2629,Song??,8,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@GFettJake,10/10 Showcase! Thank you Xbox ,7,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@giridharajith140,Xbox rocked,0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@Globalo45,Xbox cooked ,51,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@GreeenMarine,Are we back,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@guve25,"Meatiest, glaziest, most delicious showcase to date.",0,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Guwapanese,GEARS OF WAR E-DAY ,242,12 days ago,Positive,Happy,Gears
Xbox Games Showcase,Youtube,@hamzaal-sharabi7210,Show of the year ,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@hamzahamza1333,Okey xbox u can calm down now . The best showcase i've seen this 2 years,1,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@hawkar_perot,10/10 ,17,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@hugocormier126,C'est quoi la musique ?,4,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@Hx70zf,Greatest show ever .,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@Hylander_1989,(edited) You know what?  Fair play MS.  That was solid.  That perfect dark and Gears: E-Day trailer.... boiiiiiii ,14,12 days ago,Negative,Sad,Gears
Xbox Games Showcase,Youtube,@importantandfuture,(edited) Clockwork Revolution Trailer?,2,12 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,@itzspoons827,So hyped for Fable!,3,11 days ago,Positive,Happy,Fable
Xbox Games Showcase,Youtube,@jackfosterjuravlss4231,10/10! Xbox Showcase 2024 ,56,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@jAms.A,One of the best showcases I’ve seen from Xbox? ,35,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@Jason__0336,Where are the old cods for gamepass?  Atleast give us black ops 1 and 2 or something :(,2,12 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,@jayreaper7486,Best showcase ive seen so far,0,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@jbe137,10/10!,1,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@jessanpa2571,Best showcase in years hands down ,115,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@joantheringo1192,I love you xbox ,45,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@joao_-jb3dv,GREAT SHOW ,3,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@joe5049,Xbox really impressed me... Easy 9/10,0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@JosePerez-rb4tl,20/10,5,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@kas5563,Awesome trailer!!!! Kudos to who created this!!!!,0,10 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@KeepItThoro617,"Games,Games,Games…. that’s what we got for 2hrs ",0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@KevinGross-yr8fu,9/10,4,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@kewa_design,This was the best show microsoft ever put together and i didnt thought thats possible anymore lol,6,12 days ago,Negative,Sad,Microsoft
Xbox Games Showcase,Youtube,@kirkden71,Best showcase….ever!! Everything always awesome!!!,0,12 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@KLUTZPAYASO,Xbox for life! ,1,11 days ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,@KukuninPRO,Hollow Knight Silksong  Where?,3,12 days ago,Positive,Happy,Hollow Knight
Xbox Games Showcase,Youtube,@layadrtv1564,"xbox you are the goat,  the boss, the best of the competition, best service, best everything, congratulations ",0,12 days ago,Positive,Angry,Xbox
Xbox Games Showcase,Youtube,@Le_eFerguson,"I came here for video games, i wasn't disappointed",0,12 days ago,Negative,Sad,Disappointed
Xbox Games Showcase,Youtube,@lenardregencia,XboX finally using the Infinity Stones. ,27,11 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,@Letsfindout8888,Goosebumps ,7,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@Locarb,Great showcase  ,53,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Louza_Gaming,10/10,2,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@loxican,silksong where? ,12,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@LyricHouse,Thanks for using our song! <3,3,9 days ago ,Positive,Happy,
Xbox Games Showcase,Youtube,@LyvGamer,"Thank you, phil Spencer! We held the line And for what we saw, it was worth the Wait. THANKS XBOX  11/10",3,12 days ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,@MadCaT516,Thanks xbox! ,3,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@Maik_exe,Song ID? ,20,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@MarsWrestlingKingdom,(edited) Wow I am looking forward for most of these games that have been shown. MGS GEARS FABLE PERFECT DARK STATE OF DECAY 3 STARFIELD AC Shadow INDIANA JONES STALKER 2 MIDNIGHT SOUTH DOOM COD AND MORE THANK YOU XBOX  Read more,6,12 days ago,Negative,Sad,Starfield
Xbox Games Showcase,Youtube,@marufhassan634,Finally some good game trailers in Summer Game Fest.,0,12 days ago,Positive,Happy,Game
Xbox Games Showcase,Youtube,@matt97342,Very impressive show! Was shocked how good it was ! And excited for the fall 2024 and 2025 games!,3,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@maxcady360,Good on them.,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@Me_Grimlock_King,Awesome showcase! But i gotta ask...Whens Killer Instinct?! ,0,7 days ago ,Positive,Surprise,Showcase
Xbox Games Showcase,Youtube,@Mr_pea_manxd,3 new Xbox consoles With an awesome showcase?! Geez Xbox you're making me proud. ,50,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@mso1ps4,"I hoped we would see something for the next Elder Scrolls or Fallout, maybe next year",3,12 days ago,Positive,Happy,Elder Scrolls
Xbox Games Showcase,Youtube,@NightM403,So...Xbox finally stepped up...i am happy,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@nikevrest,12/10,8,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@Nodeaa,Song? ,35,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@nova_wave,"Congrats XBOX, so so so good. Best showcase ever. Make it a 2 night event next year!",5,12 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@ntabiblaze,How many of the games shown are xbox exclusives? ,0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@OverlordCalona,Please name music ,11,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@pablosousa_,1000/10,3,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@pangeayt1023,"Best showcase ever, hyped af ?",6,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Pelennor,The showcase that saved Xbox.,7,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@R4ZORLIGHT,"(edited) Best showcase of the summer games fest, i am impressed. (PC player only) If only Diablo 4 would be as good as the cinematics ;)",0,11 days ago,Positive,Happy,Diablo
Xbox Games Showcase,Youtube,@raymcdougal420,We always believe in Xbox future ,5,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@RevivedSaiyan,"Perfect dark and gears had me and my brother yelling the title as soon as we saw ""Carrington"" and the coalition symbol on the tv.  ",150,12 days ago,Positive,Surprise,Gears
Xbox Games Showcase,Youtube,@rhafaelduarte,Perfect!,4,12 days ago,Negative,Sad,
Xbox Games Showcase,Youtube,@rkuper95,Xbox thanks for supporting GSC Game World with #Stalker2 ??????,1,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@robertocrespo-bt2cb,El mejor evento de la historia de Xbox,0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@romelgonzales2754,Metal gear solid im waiting for that,2,11 days ago,Positive,Surprise,Metal Gear Solid
Xbox Games Showcase,Youtube,@RpgCrow,9.5/10 ,340,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@sadboii_x666,Definitely was better than PlayStations event ,146,12 days ago,Negative,Fear,State of Play
Xbox Games Showcase,Youtube,@Samurai.Namikaze,The Best Showcase This Year!,5,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@scott_casper,WOOOOOO!!! STATE OF DECAY 3!!!!! ,89,12 days ago,Negative,Sad,State Of Decay 3
Xbox Games Showcase,Youtube,@SebastianCaceres-ct2cw,I can't get enought of Indiana Jones,1,12 days ago,Negative,Sad,Indiana Jones
Xbox Games Showcase,Youtube,@sekyS,Xbox create E4 ,3,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@sergiobarrera1315,Xbox its on fire baby,0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@shadowninja1275,(edited) Well that was epic Win! 9.6/10! ,13,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@shgazda,"100000/10, incredible, goosebumps",6,12 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@Sho_Ishto,So many games to look forward to.,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@sib1212,W Xbox event  probably the best Xbox event my pov.,0,12 days ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,@Slynell1,Amazing showcase guys... Now to deliver on the premise,0,11 days ago,Positive,Surprise,Showcase
Xbox Games Showcase,Youtube,@SrMaximus,YOU RIPPED AND TEARED THROUGH THIS ONE Xbox big W ,6,12 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@stanleytoussaint6051,(edited) 10/10 Congrat XBOX !!!!! ,191,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@stephencookson1770,Name of this song???,6,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@stokkone82,"fantastic Show , We need more advertising , more marketing",0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@STP.83,Best gaming event I ever saw as far as I can remember,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@SuperMarioOdyessy,Best Showcase ever,4,10 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@suripto746,Xbox always wins  ,23,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@svenkilik,Will vessel of hatred be paid dlc or on gamepass,0,7 days ago ,Positive,Happy,
Xbox Games Showcase,Youtube,@Sxvun7,10/10 for this ,1,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@thanakidchangchan9355,I never thought about having Xbox until now,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@That-Ai,that's how it's done,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@thecreatorlife_,"You guys killed it!!!!! best showcase ever, hands down ",21,12 days ago,Positive,Surprise,Showcase
Xbox Games Showcase,Youtube,@theitechlab,Was Starfield not mentioned in this video or did I miss it? I know they had Shattered Space in the showcase but I didn’t see any mention of it in this video lol,0,12 days ago,Negative,Sad,Starfield
Xbox Games Showcase,Youtube,@TheJeanPierre015,El mejor showcase de la historia,0,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Thisisthemarmot,.... 9.5/10 + OMG,6,12 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@thomasglenn1405,This exceeded my expectations ,0,12 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,@TWAAAAACKS,Easily has to be one of the best shows Xbox has ever put together ,600,12 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@ukmonk,Solid showcase!!!!,0,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@user-pb4hy3zf2l,Waiting for doom & stalker ,0,5 days ago ,Positive,Surprise,Doom
Xbox Games Showcase,Youtube,@v1kt0u5,"CONGRATULATIONS this time, Microsoft! ",6,12 days ago,Positive,Happy,Microsoft
Xbox Games Showcase,Youtube,@velta2904,"Can someone tell me the name of the song, it's epic",0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@VileSinner666,Xbox delivered this year man. ,141,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@vladshumilov9932,"Boy they delivered, great job XBOX  ",107,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@VnOo987,Congrat XBOX,1,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@vullord666,"Now play it everywhere on repeat for the next year. I want to see this ad on Hulu, YouTube, local billboards, and more  ",14,12 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,@wagnerlino9828,Music ? ,16,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@windows.97,Banger after banger ,1,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@wmv8996,"Are you guys ever going to put legacy cod games on gamepass? You did Black Ops 6, why not the old games?",0,11 days ago,Negative,Sad,Call of Duty
Xbox Games Showcase,Youtube,@XboxSemLimites,Love Xbox 11/10,3,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@xNeo_z,The best plataform to play ever,0,12 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,@xSoporific1,"Better than I could imagine, good job xbox",0,10 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,@xwinter__riderx9155,"(edited) If I had money, I'd pre-order any games that get to that stage of avaliablibiltiy",0,11 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,@XxXB0TIT0R0XxX,Te quiero mucho Xbox ,0,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@youju26,(edited) Song name?  Edit: Found it; SWWARMS ft Brooke Williams - Are We Dreaming Read more,5,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@zach-anam,I will switch to xbox when i see amazing handheld with stunning graphics..,1,10 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,@zbigi15,This showcase was huge W for Xbox,2,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Like and Subscribed.,1,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Epic!,1,2 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Evento de leyenda,1,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,amazing,1,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Xbox on top,1,9 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,unknown,Apparently we will never see Silksong(((,1,10 days ago,Positive,Happy,
