Event,Platform,Username,Comments,Likes,Date,Sentiment,Emotion,Most Common Keyword
Xbox Games Showcase,Youtube,unknown,New Fable? I’m listening,1,10 days ago,Positive,Happy,Fable
Xbox Games Showcase,Youtube,unknown,Finally,1,11 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,unknown,Grazieee Xbox  ?? ,1,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,i cant preorder black ops 6,1,11 days ago,Positive,Happy,Call of Duty
Xbox Games Showcase,Youtube,unknown,Epic,1,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,I need to find the music. Does anybody know?,1,8 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Indiana Jones and Perfect Dark would have looked great in 3rd person.,1,10 days ago,Negative,Sad,Perfect Dark
Xbox Games Showcase,Youtube,unknown,Halo muri0 en reach,1,11 days ago,Positive,Happy,Halo
Xbox Games Showcase,Youtube,unknown,Let down will probably play 3 games that were shown,1,11 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,unknown,Clockwork Revolution Trailer?,2,11 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,unknown,Vision of Mana > Dragon Age Wokeguard,2,8 days ago,Positive,Angry,Dragon Age
Xbox Games Showcase,Youtube,unknown,forza horizon 6??,2,11 days ago,Positive,Happy,Forza
Xbox Games Showcase,Youtube,unknown,We need HALO,2,11 days ago,Positive,Happy,Halo
Xbox Games Showcase,Youtube,unknown,song name?,2,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,your games are lack of diversity.,2,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,I'M love xbox,3,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,S.T.A.L.K.E.R. 2  ??  10/10           XBOX ,3,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,I was hoping for Forza Horizon 6,3,11 days ago,Positive,Happy,Forza
Xbox Games Showcase,Youtube,unknown,R.i.P  PS5 ,4,9 days ago,Positive,Happy,PS5
Xbox Games Showcase,Youtube,unknown,Song name?  Edit: Found it; SWWARMS ft Brooke Williams - Are We Dreaming,5,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Wow I am looking forward for most of these games that have been shown. MGS GEARS FABLE PERFECT DARK STATE OF DECAY 3 STARFIELD AC Shadow INDIANA JONES STALKER 2 MIDNIGHT SOUTH DOOM COD AND MORE THANK YOU XBOX ,6,11 days ago,Negative,Sad,Starfield
Xbox Games Showcase,Youtube,unknown,The showcase was pretty bad,6,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,The showcase was better than this years summer game fest  Good job this time Xbox!!!,10,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Breathtaking..,10,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Xbox who sings the song?,10,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Please name music,11,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,silksong where?,12,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Well that was epic Win! 9.6/10!,13,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,9.5 it was fantastic,14,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,You know what?  Fair play MS.  That was solid.  That perfect dark and Gears: E-Day trailer.... boiiiiiii,14,11 days ago,Negative,Sad,Gears
Xbox Games Showcase,Youtube,unknown,Guys plz song  name  ?,15,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Music ?,16,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,9.9/10 Showcase!,16,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,Big W's,20,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Song ID?,20,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Xbox always wins ,23,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Amazing showcase. Congrats Xbox.,24,11 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,unknown,XboX finally using the Infinity Stones.,27,10 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,unknown,10/10 show. Incredible ,27,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Perfect Dark looks soooo good ,31,11 days ago,Negative,Sad,Perfect Dark
Xbox Games Showcase,Youtube,unknown,One of the best showcases I’ve seen from Xbox?,35,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Song?,35,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,I love you xbox,45,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,3 new Xbox consoles With an awesome showcase?! Geez Xbox you're making me proud.,50,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Xbox cooked,51,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Great showcase ,53,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,10/10! Xbox Showcase 2024,56,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,WOOOOOO!!! STATE OF DECAY 3!!!!!,89,11 days ago,Negative,Sad,State Of Decay 3
Xbox Games Showcase,Youtube,unknown,Best showcase in years hands down,115,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,Xbox delivered this year man.,140,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Perfect Dark and Gears Of War are back babies!,145,11 days ago,Negative,Sad,Gears
Xbox Games Showcase,Youtube,unknown,Definitely was better than PlayStations event,146,11 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,unknown,"Perfect dark and gears had me and my brother yelling the title as soon as we saw ""Carrington"" and the coalition symbol on the tv. ",150,11 days ago,Positive,Surprise,Gears
Xbox Games Showcase,Youtube,unknown,Best showcase ever.,176,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,10/10 Congrat XBOX !!!!!,191,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,GEARS OF WAR E-DAY,241,11 days ago,Positive,Happy,Gears
Xbox Games Showcase,Youtube,unknown,9.5/10,340,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Easily has to be one of the best shows Xbox has ever put together,600,11 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,unknown,Showcase was better than i thought,782,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,On fire really nice work,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,parabens xbox que lindo !!!,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,name of theme song?,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,melhor evento de todos os tempos,0,8 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Sois los mejores,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Wow so amazing!!,0,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Amazing Trailer show,0,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,0:11 what game?,0,10 days ago,Positive,Happy,Game
Xbox Games Showcase,Youtube,unknown,Lots of good stuff,0,11 days ago,Positive,Angry,
Xbox Games Showcase,Youtube,unknown,perfect showcase ,0,10 days ago,Negative,Sad,Showcase
Xbox Games Showcase,Youtube,unknown,Geeeears!!!!!!,0,10 days ago,Positive,Happy,Gears Of War
Xbox Games Showcase,Youtube,unknown,State of decay 3 ,0,10 days ago,Negative,Sad,State Of Decay 3
Xbox Games Showcase,Youtube,unknown,Great job!,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Wonderful,0,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,LETS GOOO!!!,0,10 days ago,Negative,Sad,
Xbox Games Showcase,Youtube,unknown,Simply incredible,0,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Xbox new era,0,9 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,100/10,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Kept you waiting huh,0,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,The fact that I don’t have enough time to play all these incredible games at the same time makes me sad.  SO GOOD,0,10 days ago,Negative,Sad,
Xbox Games Showcase,Youtube,unknown,GEARS OF WAR E-Day! We are so back!,0,10 days ago,Positive,Happy,Gears
Xbox Games Showcase,Youtube,unknown,Let's go Xbox team,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Thank you XBOX,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,XBOX #1 ,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Gears 6 and black ops 6 yay,0,10 days ago,Positive,Happy,Gears
Xbox Games Showcase,Youtube,unknown,Gears bros are back in ephyra!,0,10 days ago,Positive,Happy,Gears
Xbox Games Showcase,Youtube,unknown,Xbox ,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,10/10 show,0,5 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,WOW! Truly,0,10 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Make exclusive xbox you need,0,4 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,unknown,If this doesn’t make me buy an Xbox I don’t know what will,0,10 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,unknown,Old cods in gamepass?,0,11 days ago,Positive,Happy,Call of Duty
Xbox Games Showcase,Youtube,unknown,Xbox ganó :'),0,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,I will never forget the grudge that caused Tango Gameworks to be shut down.,0,8 days ago,Positive,Angry,
Xbox Games Showcase,Youtube,unknown,Plz don't fire all of these studios next year plz,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,XBOX HAS GAMES AGAIN!!!!!!,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,XBOX ??????????POWER,0,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Xbox THE GOAT!,0,11 days ago,Neutral,Angry,Xbox
Xbox Games Showcase,Youtube,unknown,WE’RE SO BACK,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,W XBOX ,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,I BELIEVE IN XBOX!!!!!!,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Awesome ,0,9 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,We love Xbox,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Indiana Jones and the Great Circle MOD PSVR2,0,10 days ago,Positive,Happy,Indiana Jones
Xbox Games Showcase,Youtube,unknown,RELEASE HEROS OF THE STORM ON STEAM AND CONSOLES!,0,10 days ago,Positive,Happy,Release
Xbox Games Showcase,Youtube,unknown,MAKE GREAT GAMES=SELL GREAT CONSOLES=MAKE GREAT MONEH,0,9 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Not bad Xbox way better than the summer snooze fest I rate this show 7 out of 10,0,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Hollow Knight Silksong ,0,10 days ago,Positive,Happy,Hollow Knight
Xbox Games Showcase,Youtube,unknown,GOATEDD,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Add back  Grand theft Auto 5 online on xcloud gaming  pls ,0,10 days ago,Positive,Surprise,GTA 5
Xbox Games Showcase,Youtube,unknown, fantástico ,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Wow,0,10 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Where's Forza Horion 6?,0,10 days ago,Positive,Happy,Forza
Xbox Games Showcase,Youtube,unknown,Starfield ,0,9 days ago,Positive,Happy,Starfield
Xbox Games Showcase,Youtube,unknown,Please activision and blizzard xbox game pass release date please ,0,10 days ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,unknown,Xbox W,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Please add the game to xbox amazing spider - man and deadpool,0,4 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,unknown,God bless Xbox ,0,15 hours ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,HELL YEAH,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,WoW ,0,8 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Why are they putting wow when it wasnt coming to xbox lol,0,10 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,unknown,2 zombies maps ,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Love it,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Love u Xbox ???,0,10 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Marvel Blade??,0,11 days ago,Positive,Surprise,Marvel Blade
Xbox Games Showcase,Youtube,unknown,Let him cook,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,RUSSERL ADLER GOATT,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,I miss halo so why don't you make it,0,11 days ago,Negative,Sad,Halo
Xbox Games Showcase,Youtube,unknown,Holy schmokes ,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,WE LOVE U,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,COD CONFIRMED,0,9 days ago,Negative,Fear,Call of Duty
Xbox Games Showcase,Youtube,unknown,SHHHEEEEESSHHHHHH,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Only missing FH6,0,11 days ago,Negative,Sad,
Xbox Games Showcase,Youtube,unknown,show,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Where halo,0,10 days ago,Positive,Happy,Halo
Xbox Games Showcase,Youtube,unknown,Where forza horizon 6?,0,10 days ago,Positive,Happy,Forza
Xbox Games Showcase,Youtube,unknown,Funny how the thumbnail shows Male leads of the 2 to 3 games that actually had males in the game yet the whole showcase was all female leads and or female centric. You are going to need to go back to being the bro console if you want to survive Xbox.,0,11 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Wooowww,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,We're getting actual games!!  Even though most of em don't even have solid release dates. Still.. this feels refreshing.,0,10 days ago,Positive,Happy,Release
Xbox Games Showcase,Youtube,unknown,GEARS OF WAR ?,0,10 days ago,Positive,Happy,Gears
Xbox Games Showcase,Youtube,unknown,Wowowowowowowowowowowowowowowowowowowowow,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Forza horizon 6 ,0,10 days ago,Positive,Happy,Forza
Xbox Games Showcase,Youtube,unknown,W+ ,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Top ,0,10 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Sheessh gamepass won,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,There's anything new on gamepass?,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,This shi crazy,0,10 days ago,Negative,Fear,
Xbox Games Showcase,Youtube,unknown,cook,0,8 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Firsttt,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,It was better ps showcase and summer game fest.,0,11 days ago,Positive,Happy,Game
Xbox Games Showcase,Youtube,unknown,Xbox won 9 generation,0,8 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Gaestation players hella scared rn ,0,10 days ago,Negative,Sad,
Xbox Games Showcase,Youtube,unknown,thats alot of gangers,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,I remember how captivating the Starfield showcase was and then I played the game and lost interest,0,8 days ago,Positive,Happy,Starfield
Xbox Games Showcase,Youtube,unknown,It wasn't that impressive!,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Xbox hates platformers,0,11 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,unknown,Are gamers really this nerdy that these type of games are exciting? Lmao,0,11 days ago,Negative,Sad,Halo
Xbox Games Showcase,Youtube,unknown,RIP Master Chief .. it was great knowing you..,0,10 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,free palestine,0,9 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Screaming woman soyjack,0,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,xbox you are the goat;  the boss,0,2 weeks ago,Neutral,Angry,Xbox
Xbox Games Showcase,Youtube,unknown,Got more than my expectations ; can't wait,0,2 weeks ago,Neutral,Angry,
Xbox Games Showcase,Youtube,unknown,The best ever; congrats Xbox!!!!,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,It's a shame the money made from the call of duty game sales and dlc micro transactions haven't been invested in to make call of duty games bigger and better. We've learned to lower our expectations with this repetitive yearly recycled copy and paste franchise; even under the new ownership of Microsoft Xbox.,0,2 weeks ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,unknown,The best presentation in years. The other years were so bad; full of cinematics,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Meatiest; glaziest,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Better than I could imagine; good job xbox,0,2 weeks ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,unknown,Boy they delivered; great job XBOX ,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Incredible showcase; great job Xbox ,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,You guys killed it!!!!! best showcase ever; hands down,0,2 weeks ago,Positive,Surprise,Showcase
Xbox Games Showcase,Youtube,unknown,Best showcase ever; hyped af ?,0,2 weeks ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,Best showcase of the summer games fest; i am impressed. (PC player only) If only Diablo 4 would be as good as the cinematics ;),0,2 weeks ago,Positive,Happy,Diablo
Xbox Games Showcase,Youtube,unknown,Perfect; I Love You XBOX ,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Great showcase; I want to see more of South of Midnight. Greetings from Lima,0,2 weeks ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,I came here for video games; i wasn't disappointed,0,2 weeks ago,Negative,Sad,Disappointed
Xbox Games Showcase,Youtube,unknown,If I had money; I'd pre-order any games that get to that stage of avaliablibiltiy,0,2 weeks ago,Negative,Fear,
Xbox Games Showcase,Youtube,unknown,100000/10; incredible,0,2 weeks ago,Positive,Surprise,
Xbox Games Showcase,Youtube,unknown,Can someone tell me the name of the song; it's epic,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Whats the song name; its fire ngl,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Xbox; let's get it! Have fun&Good luck! Let's go! Let theeem cooook!!!! ?,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,10/10 showcase; loved it ,0,2 weeks ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,I hoped we would see something for the next Elder Scrolls or Fallout; maybe next year,0,2 weeks ago,Positive,Happy,Elder Scrolls
Xbox Games Showcase,Youtube,unknown,CONGRATULATIONS this time; Microsoft! ,0,2 weeks ago,Positive,Happy,Microsoft
Xbox Games Showcase,Youtube,unknown,Best showcase ever; mucho loves Xbox and can`t wait.,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Really well made video; music,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,What's wrong with designing female faces in games. Their faces feels like it's bloated. Silent hill 2; perfect dark zero,0,2 weeks ago,Positive,Angry,Perfect Dark
Xbox Games Showcase,Youtube,unknown,Thank you; phil Spencer! We held the line And for what we saw,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Xbox Games Showcase 2024 female characters; protagonists pure woke culture 1,0,2 weeks ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,unknown,Nice show; sadly do Forza or next Halo news,0,2 weeks ago,Positive,Happy,Halo
Xbox Games Showcase,Youtube,unknown,Wait; so does this mean the new Blade game will be for all video game formats ? Cuz I did not see 1 Blade promo,0,2 weeks ago,Positive,Surprise,Game
Xbox Games Showcase,Youtube,unknown,Congrats XBOX; so so so good. Best showcase ever. Make it a 2 night event next year!,0,2 weeks ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,unknown,FRICKING YEAH; STATE OF DECAY 3!!!,0,2 weeks ago,Negative,Sad,State Of Decay 3
Xbox Games Showcase,Youtube,unknown,Not bad. Wishlist for next year. Fallout 3 remaster; Tenchu remake,0,2 weeks ago,Positive,Happy,Fallout 3 Remaster
Xbox Games Showcase,Youtube,unknown,so good. Great moment; thanks Xbox and Microsoft. Keed going.,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Pretty good showcase; too bad Halo got cucked,0,2 weeks ago,Positive,Happy,Halo
Xbox Games Showcase,Youtube,unknown,fantastic Show ; We need more advertising ,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,10/10 But cmon; we need more third person games.,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,was pretty good; well done,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,We finally got an Xbox moment to remember; well done!,0,2 weeks ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,unknown,The Showcase was so good. Hopefully the games will be too; when they realease!,0,2 weeks ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,unknown,Are you guys ever going to put legacy cod games on gamepass? You did Black Ops 6; why not the old games?,0,2 weeks ago,Negative,Sad,Call of Duty
Xbox Games Showcase,Youtube,unknown,Halo 7 called “Halo: Awakening Zero” trailer should be shown; with 2025 confirmed release date,0,2 weeks ago,Negative,Sad,Halo
Xbox Games Showcase,Youtube,unknown,LETS GOOOOOO BOYSSSSSSSSSSS; XBOX 4 LIFE,0,2 weeks ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,unknown,Yes; Xbox won the events this year,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Now play it everywhere on repeat for the next year. I want to see this ad on Hulu; YouTube,0,2 weeks ago,Negative,Fear,
Xbox Games Showcase,Youtube,unknown,Muy genial;felicitaciones xbox,0,2 weeks ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,unknown,Games;Games,0,2 weeks ago,Positive,Happy,
Xbox Games Showcase,Youtube,unknown,Only Mgs;Gears of war,0,2 weeks ago,Positive,Happy,Gears Of War
Xbox Games Showcase,Youtube,unknown,Only Mgs,0,2 weeks ago,Positive,Happy,
