"Comment","Likes","Date"
"Showcase was better than i thought","782","11 days ago"
"Easily has to be one of the best shows Xbox has ever put together","600","11 days ago"
"GEARS OF WAR E-DAY","241","11 days ago"
"Xbox delivered this year man.","140","11 days ago"
"Perfect Dark and Gears Of War are back babies!","145","11 days ago"
"9.5/10","340","11 days ago"
"Best showcase in years hands down","115","11 days ago"
"Best showcase ever.","176","11 days ago"
"XboX finally using the Infinity Stones.","27","10 days ago"
"Boy they delivered, great job XBOX ","107","11 days ago"
"10/10 Congrat XBOX !!!!!","191","11 days ago (edited)"
"10/10! Xbox Showcase 2024","56","11 days ago"
"Best showcase ever ","160","11 days ago"
"One of the best showcases I’ve seen from Xbox️","35","11 days ago"
"The best ever, congrats Xbox!!!!","32","11 days ago"
"Perfect dark and gears had me and my brother yelling the title as soon as we saw ""Carrington"" and the coalition symbol on the tv. ","150","11 days ago"
"WOOOOOO!!! STATE OF DECAY 3!!!!!","89","11 days ago"
"Definitely was better than PlayStations event","146","11 days ago"
"Amazing showcase. Congrats Xbox.","24","11 days ago"
"3 new Xbox consoles With an awesome showcase?! Geez Xbox you're making me proud.","50","10 days ago"
"I love you xbox","45","11 days ago"
"Music ?","16","10 days ago"
"Great showcase ","53","11 days ago"
"Perfect Dark looks soooo good ","31","11 days ago"
"Now play it everywhere on repeat for the next year. I want to see this ad on Hulu, YouTube, local billboards, and more ","14","11 days ago"
"10/10 showcase, loved it ","18","11 days ago"
"10/10 show. Incredible ","27","11 days ago"
"You guys killed it!!!!! best showcase ever, hands down","21","11 days ago"
"The showcase was better than this years summer game fest  Good job this time Xbox!!!","10","11 days ago"
"9.5 it was fantastic","14","11 days ago"
"Song?","35","11 days ago"
"Anyone know the name of the song?","7","10 days ago"
"Great showcase pats on the back to you Xbox","9","11 days ago"
"CONGRATULATIONS this time, Microsoft! ","6","10 days ago"
"YOU RIPPED AND TEARED THROUGH THIS ONE Xbox big W ","6","11 days ago"
"You know what?  Fair play MS.  That was solid.  That perfect dark and Gears: E-Day trailer.... boiiiiiii","14","11 days ago (edited)"
"Congrats XBOX, so so so good. Best showcase ever. Make it a 2 night event next year!","5","11 days ago"
"9.9/10 Showcase!","16","11 days ago"
"Big W's","20","11 days ago"
"Well that was epic Win! 9.6/10!","13","11 days ago (edited)"
"Xbox cooked","51","11 days ago"
"We always believe in Xbox future ","5","10 days ago"
"This was the best show microsoft ever put together and i didnt thought thats possible anymore lol","6","11 days ago"
"The Best Showcase This Year!","5","10 days ago"
"Thanks for using our song! <3","3","8 days ago"
"100000/10, incredible, goosebumps","6","11 days ago"
"Song name?  Edit: Found it; SWWARMS ft Brooke Williams - Are We Dreaming","5","10 days ago (edited)"
"Breathtaking..","10","11 days ago"
"Song ID?","20","11 days ago"
"10/10","17","11 days ago"
"The best presentation in years. The other years were so bad, full of cinematics, i dont play cinematics. This time we had gameplays and dates. 33 expeditions and dragon age were my favorites. Very happy with all im going to play on my xbox series x.","4","10 days ago"
"Goosebumps ","7","11 days ago"
"Xbox who sings the song?","10","10 days ago"
"Guys plz song  name  ?","15","11 days ago"
"The showcase that saved Xbox.","7","10 days ago"
"Amazing showcase. Im shocked on how good it was. 10/10","3","10 days ago"
"So hyped for Fable!","3","10 days ago"
"Song??","8","11 days ago"
"Best showcase ever, hyped af ️","6","10 days ago"
"Great showcase, I want to see more of South of Midnight. Greetings from Lima, Peru.","1","10 days ago"
"Genuinely excited for gaming this year","2","10 days ago"
"Thank you, phil Spencer! We held the line And for what we saw, it was worth the Wait. THANKS XBOX  11/10","3","10 days ago"
"Name of this song???","6","9 days ago"
"12/10","8","11 days ago"
"silksong where?","12","11 days ago"
"This showcase was huge W for Xbox","2","10 days ago"
"Wow I am looking forward for most of these games that have been shown. MGS GEARS FABLE PERFECT DARK STATE OF DECAY 3 STARFIELD AC Shadow INDIANA JONES STALKER 2 MIDNIGHT SOUTH DOOM COD AND MORE THANK YOU XBOX ","6","11 days ago (edited)"
"Very impressive show! Was shocked how good it was ! And excited for the fall 2024 and 2025 games!","3","11 days ago"
"Best Showcase ever","4","9 days ago"
"I hoped we would see something for the next Elder Scrolls or Fallout, maybe next year","3","11 days ago"
".... 9.5/10 + OMG","6","11 days ago"
"Melhor evento de todos ","3","11 days ago"
"Whats the song name, its fire ngl","5","10 days ago"
"Please name music","11","11 days ago"
"Expectacular !! Gracias !! ","1","10 days ago"
"20/10","5","11 days ago"
"Amazing showcase guys... Now to deliver on the premise","         ","10 days ago"
"Xbox brought back E3 vibes with that showcase! ","1","10 days ago"
"Got more than my expectations , can't wait","         ","10 days ago"
"So many games to look forward to.","         ","10 days ago"
"Thanks xbox! ","3","9 days ago"
"The rich program from Microsoft makes me happy. 8 out of 10 ))","1","10 days ago"
"Really well made video, music, visuals and editing are great. And I don't care about most games, but really interesting stuff there for different reasons like style, gameplay, visuals, audio and so on. Defintily better than whatever Summer Game Fest was...","         ","11 days ago"
"Yes, Xbox won the events this year, with lots of games and surprises shown! Including Doom, Gears, Perfect Dark, and to make it even better, the only thing missing was Banjo Kazooie... ","1","10 days ago"
"C'est quoi la musique ?","4","10 days ago"
"Why don't you apply mena region pricing to your old games on Steam?","         ","10 days ago"
"Impressed with the showcase ","         ","10 days ago"
"Love Xbox 11/10","3","10 days ago"
"This exceeded my expectations ","         ","10 days ago"
"10/10 Showcase! Thank you Xbox ","7","11 days ago"
"Finally some good game trailers in Summer Game Fest.","         ","11 days ago"
"10/10 for this ","1","11 days ago"
"I love Xbox ","3","10 days ago"
"Muy genial,felicitaciones xbox","         ","11 days ago"
"I never thought about having Xbox until now","         ","9 days ago"
"Best showcase ever, mucho loves Xbox and can`t wait.","         ","10 days ago"
"El mejor evento de la historia de Xbox","         ","11 days ago"
"Best showcase….ever!! Everything always awesome!!!","         ","10 days ago"
"Incredible showcase!","         ","10 days ago"
"Best showcase ive seen so far","         ","10 days ago"
"Okey xbox u can calm down now . The best showcase i've seen this 2 years","1","10 days ago"
"Awesome trailer!!!! Kudos to who created this!!!!","         ","9 days ago"
"10/10","2","11 days ago"
"I will switch to xbox when i see amazing handheld with stunning graphics..","1","9 days ago"
"Great Showcase!!!  All that was missing in my book was HALO !  an also Forza but they already released recent games so i understand that. But wouldve been nice to see all of Xbox lineup show up","         ","10 days ago"
"We finally got an Xbox moment to remember, well done!","         ","9 days ago"
"Hollow Knight Silksong  Where?","3","11 days ago"
"Awesome showcase! But i gotta ask...Whens Killer Instinct?! ","         ","6 days ago"
"Nueva era de vídeo juegos ","         ","10 days ago"
"Games,Games,Games…. that’s what we got for 2hrs ","         ","10 days ago"
"fantastic Show , We need more advertising , more marketing","         ","10 days ago"
"Metal gear solid im waiting for that","2","10 days ago"
"Clockwork Revolution Trailer?","2","11 days ago (edited)"
"On fire really nice work","         ","10 days ago"
"Te quiero mucho Xbox ","         ","10 days ago"
"I can't get enought of Indiana Jones","1","11 days ago"
"So...Xbox finally stepped up...i am happy","         ","10 days ago"
"Def some good games in this video.","         ","11 days ago"
"Best showcase of the summer games fest, i am impressed. (PC player only) If only Diablo 4 would be as good as the cinematics ;)","         ","10 days ago (edited)"
"Xbox for life! ","1","10 days ago"
"Solid showcase!!!!","         ","10 days ago"
"Best gaming event I ever saw as far as I can remember","         ","10 days ago"
"The best plataform to play ever","         ","11 days ago"
"The Showcase was so good. Hopefully the games will be too, when they realease!","         ","10 days ago"
"If I had money, I'd pre-order any games that get to that stage of avaliablibiltiy","         ","10 days ago (edited)"
"Which of those are actually console exclusive? I have both consoles btw but i just wanna know lol","         ","10 days ago"
"parabens xbox que lindo !!!","         ","10 days ago"
"name of theme song?","         ","10 days ago"
"Perfect!","4","11 days ago"
"10/10!","1","11 days ago"
"was pretty good, well done","         ","10 days ago"
"I'M love xbox","3","11 days ago (edited)"
"so good. Great moment, thanks Xbox and Microsoft. Keed going.","         ","10 days ago"
"Wait, so does this mean the new Blade game will be for all video game formats ? Cuz I did not see 1 Blade promo","1","10 days ago"
"Banger after banger ","1","9 days ago"
"melhor evento de todos os tempos","         ","8 days ago"
"JEEEEEEEEEEZUSSSSSSSSSS!!!!!! Mega hype …. Beyond hype . Absolutely amazing showcase . E-DAY! WTF !!!! So many games to be excited about .","         ","10 days ago"
"Xbox has games  greatshow case feels like E3 again!","2","10 days ago"
"Better than I could imagine, good job xbox","         ","9 days ago"
"Awesome show case on par with e3 honestly","         ","10 days ago"
"Xbox. You delivered big. Exceptional Showcase. Get that GAMEPASS, Baby!","         ","10 days ago"
"Are we back","         ","11 days ago"
"El mejor showcase de la historia","         ","10 days ago"
"Amazing show","1","10 days ago"
"OH MY GOD","1","11 days ago"
"Greatest show ever .","         ","11 days ago"
"GREAT SHOW ","3","11 days ago"
"I came here for video games, i wasn't disappointed","         ","11 days ago"
"Like and Subscribed.","1","10 days ago"
"Xbox create E4 ","3","10 days ago"
"Can someone tell me the name of the song, it's epic","         ","9 days ago"
"We can only hope that all the games presented are released finished and do not close any studio","         ","11 days ago"
"1000/10","3","11 days ago"
"9/10","4","11 days ago"
"Best XBOX GAMES SHOWCASE EVER MADE ","         ","10 days ago"
"Epic!","1","2 days ago"
"Incredible showcase, great job Xbox ","         ","9 days ago"
"10/10 But cmon, we need more third person games.","         ","10 days ago"
"11/10","1","10 days ago"
"10 outa 10 ... xbox are back!","         ","10 days ago"
"Xbox its on fire baby","         ","10 days ago"
"Congrat XBOX","1","11 days ago"
"W Xbox event  probably the best Xbox event my pov.","         ","11 days ago"
"Massively impressed","1","11 days ago"
"best showcase ever ","         ","10 days ago"
"Sois los mejores","         ","10 days ago"
"Perfect, I Love You XBOX ","         ","11 days ago"
"Good on them.","         ","11 days ago"
"XBOX WINS","2","10 days ago"
"xbox you are the goat,  the boss, the best of the competition, best service, best everything, congratulations ","         ","10 days ago"
"9/10 ","         ","11 days ago"
"Wow so amazing!!","         ","11 days ago"
"Show of the year ","         ","10 days ago"
"Amazing Trailer show","         ","11 days ago"
"Xbox thanks for supporting GSC Game World with #Stalker2 ️️️️️️","1","11 days ago"
"We are back baby!!","         ","7 days ago"
"I want to play every game","         ","10 days ago"
"Where are the old cods for gamepass?  Atleast give us black ops 1 and 2 or something :(","2","11 days ago"
"Waiting for doom & stalker ","         ","4 days ago"
"Xbox really impressed me... Easy 9/10","         ","11 days ago"
"Evento de leyenda","1","11 days ago"
"How many of the games shown are xbox exclusives? ","         ","10 days ago"
"0:11 what game?","         ","10 days ago"
"that's how it's done","         ","11 days ago"
"Lots of good stuff","         ","11 days ago"
"Nice show, sadly do Forza or next Halo news","         ","11 days ago"
"Meatiest, glaziest, most delicious showcase to date.","         ","10 days ago"
"Xbox always wins ","23","11 days ago"
"9/10 ","         ","11 days ago"
"perfect showcase ","         ","10 days ago"
"Xbox, let's get it! Have fun&Good luck! Let's go! Let theeem cooook!!!! 🫡","         ","10 days ago"
"10/10","5","11 days ago"
"Music?","1","10 days ago"
"Song?","1","7 days ago"
"9/10","1","11 days ago"
"10/10","2","11 days ago"
"10/10","2","11 days ago"
"10/10","2","11 days ago"
"10/10","2","11 days ago"
"Song?","1","11 days ago"
"Name song? Please","5","10 days ago"
"Geeeears!!!!!!","         ","10 days ago"
"LETS GOOOOOO BOYSSSSSSSSSSS, XBOX 4 LIFE","         ","11 days ago"
"Was Starfield not mentioned in this video or did I miss it? I know they had Shattered Space in the showcase but I didn’t see any mention of it in this video lol","         ","11 days ago"
"State of decay 3 ","         ","10 days ago"
"Great job!","         ","10 days ago"
"Xbox rocked","         ","11 days ago"
"Wonderful","         ","11 days ago"
"LETS GOOO!!!","         ","10 days ago"
"Are you guys ever going to put legacy cod games on gamepass? You did Black Ops 6, why not the old games?","         ","10 days ago"
"amazing","1","11 days ago"
"Simply incredible","         ","11 days ago"
"Xbox new era","         ","9 days ago"
"100/10","         ","10 days ago"
"Xbox came out swinging","4","11 days ago"
"10/10","         ","10 days ago"
"Kept you waiting huh","         ","11 days ago"
"Xbox on top","1","9 days ago"
" ","         ","11 days ago"
"The fact that I don’t have enough time to play all these incredible games at the same time makes me sad.  SO GOOD","         ","10 days ago"
"GEARS OF WAR E-Day! We are so back!","         ","10 days ago"
"Let's go Xbox team","         ","10 days ago"
"10/10","         ","10 days ago"
"amazing","1","11 days ago"
"Will vessel of hatred be paid dlc or on gamepass","         ","6 days ago"
"FRICKING YEAH, STATE OF DECAY 3!!!","         ","10 days ago"
"Thank you XBOX","         ","10 days ago"
"XBOX #1 ","         ","10 days ago"
"Gears 6 and black ops 6 yay","         ","10 days ago"
"Gears bros are back in ephyra!","         ","10 days ago"
"S.T.A.L.K.E.R. 2  🇺🇦  10/10           XBOX ","3","10 days ago"
"Xbox ","         ","10 days ago"
"Наконец-то новый безбашенный ДУУМ, спасибо ребята","         ","10 days ago"
"10/10 show","         ","5 days ago"
"WOW! Truly","         ","10 days ago (edited)"
"Make exclusive xbox you need","         ","4 days ago"
"If this doesn’t make me buy an Xbox I don’t know what will","         ","10 days ago"
"Old cods in gamepass?","         ","11 days ago"
"Xbox ganó :')","         ","11 days ago"
"I will never forget the grudge that caused Tango Gameworks to be shut down.","         ","8 days ago"
"Plz don't fire all of these studios next year plz","         ","10 days ago"
"XBOX HAS GAMES AGAIN!!!!!!","         ","10 days ago"
"XBOX 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸POWER","         ","11 days ago"
"Xbox THE GOAT!","         ","11 days ago"
"WE’RE SO BACK","         ","10 days ago"
"Halo 7 called “Halo: Awakening Zero” trailer should be shown, with 2025 confirmed release date","2","11 days ago"
"W XBOX ","         ","10 days ago"
"Apparently we will never see Silksong(((","1","10 days ago"
"Подскажите что за трек пожалуйста. Просто огненный","         ","10 days ago"
"I BELIEVE IN XBOX!!!!!!","         ","10 days ago"
"Awesome ","         ","9 days ago"
"New Fable? I’m listening","1","10 days ago"
"We love Xbox","         ","10 days ago"
"Indiana Jones and the Great Circle MOD PSVR2","         ","10 days ago"
"Finally","1","11 days ago"
"RELEASE HEROS OF THE STORM ON STEAM AND CONSOLES!","         ","10 days ago"
"MAKE GREAT GAMES=SELL GREAT CONSOLES=MAKE GREAT MONEH","         ","9 days ago"
"Not bad Xbox way better than the summer snooze fest I rate this show 7 out of 10","         ","11 days ago"
"Hollow Knight Silksong ","         ","10 days ago"
"GOATEDD","         ","11 days ago"
"Grazieee Xbox  🇮🇹 ","1","11 days ago (edited)"
"Add back  Grand theft Auto 5 online on xcloud gaming  pls ","         ","10 days ago (edited)"
" fantástico ","         ","11 days ago"
"Wow","         ","10 days ago"
"i cant preorder black ops 6","1","11 days ago"
"Where's Forza Horion 6?","         ","10 days ago"
"Starfield ","         ","9 days ago"
"Please activision and blizzard xbox game pass release date please ","         ","10 days ago"
"Vision of Mana > Dragon Age Wokeguard","2","8 days ago"
" ","         ","10 days ago"
"forza horizon 6??","2","11 days ago"
"Xbox W","         ","10 days ago"
"Please add the game to xbox amazing spider - man and deadpool","         ","4 days ago"
"Epic","1","11 days ago"
"God bless Xbox ","         ","15 hours ago"
"HELL YEAH","         ","10 days ago"
"WoW ","         ","8 days ago"
"Why are they putting wow when it wasnt coming to xbox lol","         ","10 days ago"
"I was hoping for Forza Horizon 6","3","11 days ago"
"2 zombies maps ","         ","11 days ago"
"Love it","         ","10 days ago"
"I need to find the music. Does anybody know?","1","8 days ago"
"Love u Xbox 🇧🇷️","         ","10 days ago"
"Marvel Blade??","         ","11 days ago"
"Indiana Jones and Perfect Dark would have looked great in 3rd person.","1","10 days ago"
"Let him cook","         ","11 days ago"
"RUSSERL ADLER GOATT","         ","10 days ago"
"I miss halo so why don't you make it","         ","11 days ago"
"Holy schmokes ","         ","10 days ago"
" ","         ","7 days ago"
"WE LOVE U","         ","10 days ago"
"wow","         ","10 days ago"
"We need HALO","2","11 days ago"
"COD CONFIRMED","         ","9 days ago"
"SHHHEEEEESSHHHHHH","         ","11 days ago"
"Halo muri0 en reach","1","11 days ago"
" ","         ","11 days ago"
"Wow ","         ","10 days ago"
"Only missing FH6","         ","11 days ago"
"show","         ","11 days ago"
"Where halo","         ","10 days ago"
"Where forza horizon 6?","         ","10 days ago"
"️","         ","4 days ago"
" ","         ","10 days ago"
"Funny how the thumbnail shows Male leads of the 2 to 3 games that actually had males in the game yet the whole showcase was all female leads and or female centric. You are going to need to go back to being the bro console if you want to survive Xbox.","         ","11 days ago"
"Wooowww","         ","11 days ago"
" ","         ","10 days ago"
"Not bad. Wishlist for next year. Fallout 3 remaster, Tenchu remake, WoW classic on console, new Tony Hawk.","2","11 days ago"
" ","         ","10 days ago"
" ","         ","10 days ago"
" ","         ","10 days ago"
" ","         ","8 days ago"
"We're getting actual games!!  Even though most of em don't even have solid release dates. Still.. this feels refreshing.","         ","10 days ago"
"GEARS OF WAR 🥹","         ","10 days ago"
"Let down will probably play 3 games that were shown","1","11 days ago"
"я ждал форза хорайзен 6","         ","10 days ago"
"Wowowowowowowowowowowowowowowowowowowowow","         ","11 days ago"
"R.i.P  PS5 ","4","9 days ago"
" ","         ","10 days ago"
"Forza horizon 6 ","         ","10 days ago"
" ","1","11 days ago"
"song name?","2","10 days ago"
"W+ ","         ","10 days ago"
" ","         ","9 days ago"
"10000000000000000000000000000000000000","2","11 days ago"
"Top ","         ","10 days ago"
"️","         ","11 days ago"
"Sheessh gamepass won","         ","10 days ago"
" ","         ","11 days ago"
"There's anything new on gamepass?","         ","11 days ago"
" ","         ","4 days ago"
" ","         ","2 days ago"
"This shi crazy","         ","10 days ago"
"️🫡🫶🥹","         ","10 days ago"
"Pretty good showcase, too bad Halo got cucked","         ","11 days ago"
"cook","         ","8 days ago"
" ","         ","10 days ago"
"Firsttt","         ","11 days ago"
" ","         ","10 days ago"
"It was better ps showcase and summer game fest.","         ","11 days ago"
"Боксик порвал попку соньке","         ","10 days ago"
"Xbox won 9 generation","         ","8 days ago"
"Gaestation players hella scared rn ","         ","10 days ago"
"thats alot of gangers","         ","10 days ago"
"I remember how captivating the Starfield showcase was and then I played the game and lost interest","         ","8 days ago"
"It's a shame the money made from the call of duty game sales and dlc micro transactions haven't been invested in to make call of duty games bigger and better. We've learned to lower our expectations with this repetitive yearly recycled copy and paste franchise, even under the new ownership of Microsoft Xbox.","         ","10 days ago"
"Xbox Games Showcase 2024 female characters, protagonists pure woke culture 1","         ","10 days ago"
"It wasn't that impressive!","         ","11 days ago"
"What's wrong with designing female faces in games. Their faces feels like it's bloated. Silent hill 2, perfect dark zero,  Fable.","1","10 days ago"
"Xbox hates platformers","         ","11 days ago"
"Are gamers really this nerdy that these type of games are exciting? Lmao","         ","11 days ago"
"Only Mgs,Gears of war,Fable were good","         ","10 days ago"
"RIP Master Chief .. it was great knowing you..","         ","10 days ago"
"free palestine","         ","9 days ago"
"your games are lack of diversity.","2","11 days ago"
"Screaming woman soyjack","         ","11 days ago"
"The showcase was pretty bad","6","11 days ago"
